#,Date,Match,Ligue,Pays
85,02-06,Korona Kielce vs Zaglebie Lubin,Ekstraklasa,Poland
86,02-07,Gornik Zabrze vs Lech Poznan,Ekstraklasa,Poland
87,02-07,Jagiellonia vs Motor Lublin,Ekstraklasa,Poland
88,02-08,Pogon Szczecin vs Nieciecza,Ekstraklasa,Poland
89,02-08,Raków Częstochowa vs Radomiak Radom,Ekstraklasa,Poland
90,02-13,Radomiak Radom vs Korona Kielce,Ekstraklasa,Poland
91,02-14,Cracovia Krakow vs Jagiellonia,Ekstraklasa,Poland
,, ENGLAND (8 matchs),,
92,02-01,Manchester United vs Fulham,Premier League,England
93,02-01,Tottenham vs Manchester City,Premier League,England
94,02-01,Aston Villa vs Brentford,Premier League,England
95,02-02,Sunderland vs Burnley,Premier League,England
96,02-03,Hull City vs Watford,Championship,England
97,02-03,Barnet vs Crewe,League Two,England
98,02-03,Notts County vs Gillingham,League Two,England
99,02-03,Portsmouth vs Ipswich,Championship,England
,, FRANCE (7 matchs),,
100,02-01,Lyon vs Lille,Ligue 1,France
101,02-01,Strasbourg vs Paris Saint Germain,Ligue 1,France
102,02-01,Angers vs Metz,Ligue 1,France
103,02-06,Metz vs Lille,Ligue 1,France
104,02-06,Dunkerque vs Guingamp,Ligue 2,France
105,02-06,RED Star FC 93 vs PAU,Ligue 2,France
106,02-06,Boulogne vs Rodez,Ligue 2,France
,, SPAIN (6 matchs),,
107,02-01,Granada CF vs Racing Santander,Segunda División,Spain
108,02-01,Real Betis vs Valencia,La Liga,Spain
109,02-01,Almeria vs AD Ceuta FC,Segunda División,Spain
110,02-01,Castellón vs FC Andorra,Segunda División,Spain
111,02-02,Mallorca vs Sevilla,La Liga,Spain
112,02-02,Mirandes vs Malaga,Segunda División,Spain
,, SCOTLAND (5 matchs),,
113,02-01,Celtic vs Falkirk,Premiership,Scotland
114,02-01,Hibernian vs Rangers,Premiership,Scotland
115,02-04,Hibernian vs Dundee Utd,Premiership,Scotland
116,02-04,Livingston vs Falkirk,Premiership,Scotland
117,02-04,Rangers vs Kilmarnock,Premiership,Scotland
,, DENMARK (4 matchs),,
118,02-06,Aarhus vs Odense,Superliga,Denmark
119,02-08,FC Midtjylland vs FC Copenhagen,Superliga,Denmark
120,02-08,FC Nordsjaelland vs Sonderjyske,Superliga,Denmark
121,02-09,Vejle vs FC Fredericia,Superliga,Denmark
,, HUNGARY (4 matchs),,
122,02-01,Paks vs Ferencvarosi TC,NB I,Hungary
123,02-01,Diosgyori VTK vs Kisvarda FC,NB I,Hungary
124,02-01,Zalaegerszegi TE vs Nyiregyhaza,NB I,Hungary
125,02-06,Kisvarda FC vs Kazincbarcikai,NB I,Hungary
,, QATAR (4 matchs),,
126,02-05,UMM Salal vs Al-Duhail SC,Stars League,Qatar
127,02-05,Al-Sailiya vs Al-Gharafa,Stars League,Qatar
128,02-06,Qatar SC vs Al-Rayyan SC,Stars League,Qatar
129,02-07,Al-Arabi SC vs Al Shamal,Stars League,Qatar
,, CZECH-REPUBLIC (3 matchs),,
130,02-01,Karviná vs Plzen,Czech Liga,Czech-Republic
131,02-01,Pardubice vs Slavia Praha,Czech Liga,Czech-Republic
132,02-01,Slovan Liberec vs Zlin,Czech Liga,Czech-Republic
,, ISRAEL (3 matchs),,
133,02-03,Maccabi Haifa vs Kafr Qasim,State Cup,Israel
134,02-04,Maccabi Bnei Raina vs Hapoel Beer Sheva,State Cup,Israel
135,02-05,Maccabi Kabilio Jaffa vs Maccabi Tel Aviv,State Cup,Israel
,, MEXICO (3 matchs),,
136,02-01,Monterrey vs Club Tijuana,Liga MX,Mexico
